baseline,,bm3,,bm4,,bm53_palmOH_ul_5,,bm53_palmOH_ul_10,,bm53_palmOH_ul_20,,bm53_palmOH_ul_30,,bm53_palmOH_ul_40,,bm53_palmOH_ul_50,,bm53_palmOH_ul_50,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
732.9504395,-0.0001455065358,732.9504395,-0.01712301932,732.9504395,-0.01616667397,732.9504395,-0.01572920382,732.9504395,-0.01538974326,732.9504395,-0.01690098643,732.9504395,-0.01770797558,732.9504395,-0.01718169451,732.9504395,0.005690930411,732.9504395,0.0201130975,
731.9541626,0.0003717780346,731.9541626,-0.01764544286,731.9541626,-0.01586519182,731.9541626,-0.01585835405,731.9541626,-0.01579305902,731.9541626,-0.0169138331,731.9541626,-0.01591655239,731.9541626,-0.01766164787,731.9541626,0.006323786452,731.9541626,0.02170330845,
730.9575195,-0.0004843669012,730.9575195,-0.01784031466,730.9575195,-0.01714506745,730.9575195,-0.01771940663,730.9575195,-0.01585575938,730.9575195,-0.01767854951,730.9575195,-0.01709300652,730.9575195,-0.0176234208,730.9575195,0.005103990436,730.9575195,0.01965480484,
729.9605713,2.689635403E-5,729.9605713,-0.01918443851,729.9605713,-0.01632242091,729.9605713,-0.01749822497,729.9605713,-0.017034119,729.9605713,-0.01817861013,729.9605713,-0.01792184636,729.9605713,-0.0190753974,729.9605713,0.004496891983,729.9605713,0.01817486435,
728.9632568,0.0004904016969,728.9632568,-0.01890859008,728.9632568,-0.01758225635,728.9632568,-0.01821167581,728.9632568,-0.01625774428,728.9632568,-0.01822587475,728.9632568,-0.01765687764,728.9632568,-0.01836252213,728.9632568,0.004903353751,728.9632568,0.01887852885,
727.9655762,-0.0003168839321,727.9655762,-0.01910319366,727.9655762,-0.01766925491,727.9655762,-0.01823004335,727.9655762,-0.01729026437,727.9655762,-0.01817587949,727.9655762,-0.01881232113,727.9655762,-0.0191348996,727.9655762,0.006035878789,727.9655762,0.01857496612,
726.9675903,-0.0009863253217,726.9675903,-0.01990447193,726.9675903,-0.0179789234,726.9675903,-0.01820611581,726.9675903,-0.01785065047,726.9675903,-0.01925482042,726.9675903,-0.01869029552,726.9675903,-0.02023325674,726.9675903,0.005113079213,726.9675903,0.01840092987,
725.9692383,0.000634358672,725.9692383,-0.01897951402,725.9692383,-0.01736951247,725.9692383,-0.01820864715,725.9692383,-0.01733722724,725.9692383,-0.01875277609,725.9692383,-0.01889709011,725.9692383,-0.01903709583,725.9692383,0.007809124887,725.9692383,0.01874907315,
724.97052,-0.0007477710024,724.97052,-0.02060677484,724.97052,-0.01867799647,724.97052,-0.0195513349,724.97052,-0.01891889982,724.97052,-0.02063930966,724.97052,-0.01949906722,724.97052,-0.02040681802,724.97052,0.004948307294,724.97052,0.01788325794,
723.9714966,-6.952414697E-5,723.9714966,-0.02012986876,723.9714966,-0.01836108416,723.9714966,-0.01832837798,723.9714966,-0.01813804358,723.9714966,-0.01885807887,723.9714966,-0.01926076412,723.9714966,-0.01931132749,723.9714966,0.005054097623,723.9714966,0.0178790763,
