baseline,,bm3_NotCentrifuged,,bm3_NotCentrifuged_palmOH_ul_10,,bm3_NotCentrifuged_palmOH_ul_20,,bm3_NotCentrifuged_palmOH_ul_30,,bm3_NotCentrifuged_palmOH_ul_40,,bm3_NotCentrifuged_palmOH_ul_50,,bm3_NotCentrifuged_palmOH_ul_60,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
745.0204468,0.000827793323,745.0204468,0.01790324599,745.0204468,0.009645006619,745.0204468,0.02244128473,745.0204468,0.01602206938,745.0204468,0.009987442754,745.0204468,0.04033087194,745.0204468,0.3032718599,
744.0283813,-0.0001508372225,744.0283813,0.01667208225,744.0283813,0.009213063866,744.0283813,0.02025142312,744.0283813,0.01595809683,744.0283813,0.008728142828,744.0283813,0.03809389845,744.0283813,0.3062203526,
743.0360107,0.0004687111941,743.0360107,0.01689610071,743.0360107,0.008683350869,743.0360107,0.02232656814,743.0360107,0.01571158506,743.0360107,0.009654957801,743.0360107,0.03768478334,743.0360107,0.3029813468,
742.0432129,0.0004747232888,742.0432129,0.01726518013,742.0432129,0.00956955459,742.0432129,0.02237723023,742.0432129,0.01571947709,742.0432129,0.01044508163,742.0432129,0.03755696863,742.0432129,0.3057402372,
741.0501099,-0.0001911516883,741.0501099,0.01792323403,741.0501099,0.009377477691,741.0501099,0.02034302242,741.0501099,0.01487371046,741.0501099,0.01021259744,741.0501099,0.03596516326,741.0501099,0.3047896326,
740.0567017,0.0004795951827,740.0567017,0.01838704944,740.0567017,0.009264494292,740.0567017,0.02078213729,740.0567017,0.01638744958,740.0567017,0.01037447527,740.0567017,0.03694876656,740.0567017,0.311635077,
739.0628662,-0.0008972121286,739.0628662,0.01696632244,739.0628662,0.008542377502,739.0628662,0.01911269687,739.0628662,0.01525413059,739.0628662,0.01055686083,739.0628662,0.03450726718,739.0628662,0.3163804114,
738.0687256,0.001287948689,738.0687256,0.01768393628,738.0687256,0.01002537552,738.0687256,0.02022525109,738.0687256,0.01696494967,738.0687256,0.01139079873,738.0687256,0.03517091274,738.0687256,0.3115330338,
736.9321289,-0.0005664296332,736.9321289,0.01732129045,736.9321289,0.008789368905,736.9321289,0.01968668401,736.9321289,0.01555393171,736.9321289,0.01103411149,736.9321289,0.03592832759,736.9321289,0.3108112216,
735.9372559,0.000437796989,735.9372559,0.01765427925,735.9372559,0.00923535414,735.9372559,0.02166540362,735.9372559,0.01638486795,735.9372559,0.01172440313,735.9372559,0.03639309481,735.9372559,0.3117526472,
734.9420166,0.0007291205111,734.9420166,0.01850194484,734.9420166,0.008265052922,734.9420166,0.02055719122,734.9420166,0.01677990705,734.9420166,0.01264492981,734.9420166,0.03732999042,734.9420166,0.3123239875,
733.9464111,-0.0002511765633,733.9464111,0.0188360028,733.9464111,0.008976111189,733.9464111,0.01999685355,733.9464111,0.01577243581,733.9464111,0.01142244972,733.9464111,0.03826238215,733.9464111,0.30976367,
732.9504395,5.125451935E-6,732.9504395,0.01903450117,732.9504395,0.009014140815,732.9504395,0.01987987943,732.9504395,0.01541140769,732.9504395,0.01125739235,732.9504395,0.03906712681,732.9504395,0.3053607345,
731.9541626,-0.001470935531,731.9541626,0.0183912348,731.9541626,0.008214136586,731.9541626,0.02068012953,731.9541626,0.01539268717,731.9541626,0.01110224985,731.9541626,0.04017495736,731.9541626,0.3118696511,
730.9575195,0.0007621040568,730.9575195,0.01887758262,730.9575195,0.008934544399,730.9575195,0.02063335478,730.9575195,0.01671084575,730.9575195,0.01191488653,730.9575195,0.04064594209,730.9575195,0.2999770343,
729.9605713,-1.51689128E-5,729.9605713,0.01837505773,729.9605713,0.009896306321,729.9605713,0.02124393359,729.9605713,0.0157207381,729.9605713,0.01335775573,729.9605713,0.0417843163,729.9605713,0.2940581739,
728.9632568,0.0006987840752,728.9632568,0.01973579451,728.9632568,0.01028243545,728.9632568,0.02134629153,728.9632568,0.01636156254,728.9632568,0.01250530221,728.9632568,0.04204862192,728.9632568,0.3092873693,
727.9655762,-0.0007160882233,727.9655762,0.01876399294,727.9655762,0.009047521278,727.9655762,0.0215430297,727.9655762,0.01529987343,727.9655762,0.01265145931,727.9655762,0.04256013036,727.9655762,0.2712062001,
726.9675903,2.69214911E-6,726.9675903,0.01854230277,726.9675903,0.00851347018,726.9675903,0.02135681547,726.9675903,0.01461084094,726.9675903,0.01234063134,726.9675903,0.04259747639,726.9675903,0.2825910449,
725.9692383,-0.0002537119144,725.9692383,0.0192875322,725.9692383,0.009285967797,725.9692383,0.02222662047,725.9692383,0.01520619541,725.9692383,0.01204133686,725.9692383,0.04322334006,725.9692383,0.3152945638,
724.97052,-0.0009573978023,724.97052,0.01963663101,724.97052,0.009108052589,724.97052,0.02173185535,724.97052,0.01452068333,724.97052,0.01167829055,724.97052,0.04248841479,724.97052,0.3060375452,
723.9714966,0.0004162386758,723.9714966,0.01974172704,723.9714966,0.01102484483,723.9714966,0.02299665473,723.9714966,0.01622183807,723.9714966,0.0134426523,723.9714966,0.04494825751,723.9714966,0.3104236722,
722.9721069,0.0002946822788,722.9721069,0.0196905043,722.9721069,0.009107576683,722.9721069,0.02197138034,722.9721069,0.01530478057,722.9721069,0.01267461944,722.9721069,0.04405547306,722.9721069,0.3079158068,
721.9724121,-0.0001539424557,721.9724121,0.0195497293,721.9724121,0.009269280359,721.9724121,0.02277489565,721.9724121,0.0147677511,721.9724121,0.01300264988,721.9724121,0.04525014758,721.9724121,0.3063159883,
720.9723511,0.000332580792,720.9723511,0.01958677359,720.9723511,0.01038754545,720.9723511,0.02368073352,720.9723511,0.01452263724,720.9723511,0.01285944134,720.9723511,0.04671694711,720.9723511,0.3125925362,
719.9719238,0.0001003197103,719.9719238,0.01980544627,719.9719238,0.01071926486,719.9719238,0.02492614463,719.9719238,0.01298830006,719.9719238,0.01285877451,719.9719238,0.05416278541,719.9719238,0.31394732,
718.9711914,0.0003813382646,718.9711914,0.0203865096,718.9711914,0.01090654731,718.9711914,0.02499422058,718.9711914,0.01418332011,718.9711914,0.01255712472,718.9711914,0.05440052226,718.9711914,0.2920621932,
717.9701538,-0.0002755981113,717.9701538,0.02066845633,717.9701538,0.01077283826,717.9701538,0.02567670681,717.9701538,0.01401079353,717.9701538,0.0124872122,717.9701538,0.054597646,717.9701538,0.3170072138,
716.968689,-0.0005005531712,716.968689,0.02054628171,716.968689,0.01062176749,716.968689,0.02517163381,716.968689,0.01355373766,716.968689,0.01149383839,716.968689,0.05477574095,716.968689,0.3310992122,
