baseline,,bm3_none,,bm3_none1,,lauricacid_10mM_ul05,,lauricacid_10mM_ul5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
691.968689,-0.0007573838811,691.968689,0.1419497132,691.968689,0.007613952272,691.968689,0.8430936933,691.968689,1.657177448,
690.9586792,-0.0005794589524,690.9586792,0.1427823752,690.9586792,0.008121867664,690.9586792,0.8610489964,690.9586792,1.650391698,
689.9483643,-0.0006230422878,689.9483643,0.140602529,689.9483643,0.007276777178,689.9483643,0.8465580344,689.9483643,1.640878558,
688.9376831,0.001439572196,688.9376831,0.1431233585,688.9376831,0.009026694112,688.9376831,0.8520709872,688.9376831,1.632314086,
688.071106,-0.0004070989671,688.071106,0.1404285282,688.071106,0.009124495089,688.071106,0.860368669,688.071106,1.656339407,
687.0598145,0.0004840525216,687.0598145,0.1388680935,687.0598145,0.00924463477,687.0598145,0.8543109298,687.0598145,1.641418815,
686.0482178,-0.001071082079,686.0482178,0.1398503631,686.0482178,0.007608156651,686.0482178,0.853988409,686.0482178,1.630988002,
685.0363159,-0.0001021340213,685.0363159,0.1430643052,685.0363159,0.009275072254,685.0363159,0.8450752497,685.0363159,1.633103967,
684.0240479,0.0001320126175,684.0240479,0.1422491968,684.0240479,0.007827442139,684.0240479,0.8563115001,684.0240479,1.634742141,
683.0114746,0.0006669461145,683.0114746,0.1398281753,683.0114746,0.008780017495,683.0114746,0.8232775927,683.0114746,1.645298004,
681.9985962,0.000653879717,681.9985962,0.1382630318,681.9985962,0.009444165975,681.9985962,0.8361342549,681.9985962,1.657540083,
680.9854126,-0.0002396379423,680.9854126,0.1170272827,680.9854126,0.00860043522,680.9854126,0.8456090689,680.9854126,1.634660363,
679.9718628,0.001300151343,679.9718628,0.1427309811,679.9718628,0.009931397624,679.9718628,0.8457919955,679.9718628,1.648838878,
678.9580078,0.0001131364188,678.9580078,0.1239677519,678.9580078,0.009706971236,678.9580078,0.8624347448,678.9580078,1.644438982,
677.9438477,-2.72311845E-5,677.9438477,0.1411819458,677.9438477,0.009541611187,677.9438477,0.8619531989,677.9438477,1.652412057,
676.9293213,0.0003797578393,676.9293213,0.1434197724,676.9293213,0.009146437049,676.9293213,0.8183928132,676.9293213,1.632110476,
676.0595093,-0.0003306967265,676.0595093,0.139142707,676.0595093,0.008622984402,676.0595093,0.8470329046,676.0595093,1.665693164,
675.0443726,0.0004801912291,675.0443726,0.1379039735,675.0443726,0.009913229384,675.0443726,0.8437622786,675.0443726,1.617676854,
674.0289917,-0.0004845220246,674.0289917,0.1397148669,674.0289917,0.00933854375,674.0289917,0.842328012,674.0289917,1.628242612,
673.0132446,-6.12936492E-5,673.0132446,0.1380553842,673.0132446,0.008929365315,673.0132446,0.8511408567,673.0132446,1.641945601,
671.9971924,0.0004250743659,671.9971924,0.1384060234,671.9971924,0.01008217502,671.9971924,0.8474572897,671.9971924,1.639436007,
670.980835,0.0008019625093,670.980835,0.1369961798,670.980835,0.009263700806,670.980835,0.8468787074,670.980835,1.639364004,
669.9641724,-0.0004861768975,669.9641724,0.1373820752,669.9641724,0.009484247304,669.9641724,0.8425634503,669.9641724,1.602403879,
668.9472046,-0.0003242301173,668.9472046,0.1397361159,668.9472046,0.009403427131,668.9472046,0.8541845679,668.9472046,1.639921546,
667.9298706,-0.0003132107959,667.9298706,0.1343452185,667.9298706,0.009122935124,667.9298706,0.8481818438,667.9298706,1.652071834,
667.0576172,-0.0006269196165,667.0576172,0.1384375989,667.0576172,0.009534493089,667.0576172,0.8495180011,667.0576172,1.642727375,
666.0397339,-0.0008281820919,666.0397339,0.1378907859,666.0397339,0.009367744438,666.0397339,0.8453980088,666.0397339,1.64320147,
665.0215454,-0.0003331281478,665.0215454,0.1390349269,665.0215454,0.01027053501,665.0215454,0.8469313383,665.0215454,1.64946866,
664.0029907,-9.970130486E-5,664.0029907,0.139723435,664.0029907,0.01051617693,664.0029907,0.8379638195,664.0029907,1.652294993,
662.9841309,0.0001976584608,662.9841309,0.1404765546,662.9841309,0.009587841108,662.9841309,0.8508890867,662.9841309,1.62946701,
661.9649658,-0.0004743342288,661.9649658,0.1398389637,661.9649658,0.01001907047,661.9649658,0.8474745154,661.9649658,1.62083149,
660.9455566,9.193080041E-5,660.9455566,0.1384033859,660.9455566,0.01042185444,660.9455566,0.8399781585,660.9455566,1.644438982,
660.0714722,-0.0001094838444,660.0714722,0.1399688572,660.0714722,0.01013572235,660.0714722,0.8454299569,660.0714722,1.649021864,
659.0513916,-7.438989996E-5,659.0513916,0.1439117938,659.0513916,0.01032707468,659.0513916,0.8607308269,659.0513916,1.639186144,
658.0310669,-0.0002997595875,658.0310669,0.144644022,658.0310669,0.009896438569,658.0310669,0.8509729505,658.0310669,1.64006722,
657.010376,-0.001054710476,657.010376,0.1411207914,657.010376,0.009934257716,657.010376,0.8525390625,657.010376,1.642024279,
655.9893799,-7.666747115E-5,655.9893799,0.1407591105,655.9893799,0.01114877872,655.9893799,0.8446445465,655.9893799,1.64484632,
654.9681396,-0.0003887367493,654.9681396,0.1389393508,654.9681396,0.009179458022,654.9681396,0.8330792189,654.9681396,1.635192156,
653.9465332,-0.0004190986219,653.9465332,0.1416715235,653.9465332,0.01118333358,653.9465332,0.8449636698,653.9465332,1.639690161,
653.0706177,-0.0001964300754,653.0706177,0.1314985603,653.0706177,0.01134007238,653.0706177,0.8448552489,653.0706177,1.635824561,
652.0484619,-0.0003637008485,652.0484619,0.1441173255,652.0484619,0.01021318045,652.0484619,0.8316405416,652.0484619,1.64525342,
651.026001,-0.0007461171481,651.026001,0.1424887627,651.026001,0.01059975103,651.026001,0.8457500935,651.026001,1.650004625,
650.0031738,0.0006864686147,650.0031738,0.1424084157,650.0031738,0.01089189481,650.0031738,0.8415086269,650.0031738,1.669898272,
648.9801025,0.0007087404374,648.9801025,0.145249933,648.9801025,0.01127250865,648.9801025,0.8523115516,648.9801025,1.635362744,
647.9567261,-0.0005180315347,647.9567261,0.1402650177,647.9567261,0.01064540353,647.9567261,0.8556261063,647.9567261,1.637864947,
646.9329834,0.0005899534444,646.9329834,0.1309457421,646.9329834,0.01078459341,646.9329834,0.8490099907,646.9329834,1.670842886,
646.0552979,0.0005338636693,646.0552979,0.1316380352,646.0552979,0.01093826909,646.0552979,0.8414496779,646.0552979,1.634802938,
645.0310059,-0.000625316985,645.0310059,0.1324139237,645.0310059,0.01062258985,645.0310059,0.8572154641,645.0310059,1.637603045,
644.0064697,-0.0001131587123,644.0064697,0.1356333345,644.0064697,0.01075959671,644.0064697,0.7977106571,644.0064697,1.643276334,
642.9815674,-0.0003235058684,642.9815674,0.137223199,642.9815674,0.01116519235,642.9815674,0.7804328203,642.9815674,1.637524843,
641.9563599,-0.0003361286072,641.9563599,0.1390809119,641.9563599,0.01081707608,641.9563599,0.7828810811,641.9563599,1.638720632,
640.9309082,-0.0001954985928,640.9309082,0.1332942098,640.9309082,0.01056786813,640.9309082,0.8465817571,640.9309082,1.637598872,
640.0516968,-0.0001161606924,640.0516968,0.1310994923,640.0516968,0.01190812886,640.0516968,0.8575290442,640.0516968,1.63823843,
639.0256348,-0.0008418236393,639.0256348,0.1220092699,639.0256348,0.01130646188,639.0256348,0.8446418643,639.0256348,1.64621973,
637.9992676,-0.0003358182148,637.9992676,0.1390301734,637.9992676,0.01111249998,637.9992676,0.8289830685,637.9992676,1.663815141,
636.9725952,-0.0005682392512,636.9725952,0.1425471008,636.9725952,0.01125128195,636.9725952,0.8285833001,636.9725952,1.643345952,
635.9456787,-0.000535405823,635.9456787,0.1423057318,635.9456787,0.01092096139,635.9456787,0.8427595496,635.9456787,1.646114588,
635.0651855,-0.0003345766454,635.0651855,0.1416707337,635.0651855,0.01194995455,635.0651855,0.8311653733,635.0651855,1.65251863,
634.0376587,-0.0001241313585,634.0376587,0.1443679631,634.0376587,0.01093776431,634.0376587,0.7946685553,634.0376587,1.64423418,
633.0098877,-0.0002153696114,633.0098877,0.1469094902,633.0098877,0.01170807425,633.0098877,0.8021481633,633.0098877,1.656329751,
631.9817505,-0.0001027551407,631.9817505,0.1432104558,631.9817505,0.01093683578,631.9817505,0.7698252201,631.9817505,1.651695728,
630.9533691,0.0004433422291,630.9533691,0.1382334232,630.9533691,0.01202347968,630.9533691,0.7948547602,630.9533691,1.658035159,
630.0716553,-0.0004072024021,630.0716553,0.1443006843,630.0716553,0.010995958,630.0716553,0.8122674823,630.0716553,1.652011156,
629.0426636,-0.0003643733216,629.0426636,0.1449179053,629.0426636,0.01108517405,629.0426636,0.8256351352,629.0426636,1.641535759,
628.0134277,0.0002135340619,628.0134277,0.1462181211,628.0134277,0.01180767827,628.0134277,0.8430137038,628.0134277,1.650713444,
626.9838867,-0.0003974782885,626.9838867,0.1363855004,626.9838867,0.01072428003,626.9838867,0.8101853132,626.9838867,1.638785601,
625.9540405,-0.0002929820912,625.9540405,0.1429776549,625.9540405,0.01133279223,625.9540405,0.7722023726,625.9540405,1.648353338,
625.0710449,0.0005527841276,625.0710449,0.1438060254,625.0710449,0.01143988408,625.0710449,0.7845895886,625.0710449,1.652397394,
624.0406494,0.0001568196167,624.0406494,0.1432231367,624.0406494,0.0115421107,624.0406494,0.8135174513,624.0406494,1.652175188,
623.0099487,0.0007486717659,623.0099487,0.145524174,623.0099487,0.01139287185,623.0099487,0.7591815591,623.0099487,1.649675131,
621.9790039,-2.277905514E-5,621.9790039,0.1458836943,621.9790039,0.01144070737,621.9790039,0.8420078158,621.9790039,1.653005838,
620.9476929,0.0002878955856,620.9476929,0.1493364275,620.9476929,0.01154623087,620.9476929,0.8265846372,620.9476929,1.65011394,
620.0635376,0.0004018325126,620.0635376,0.1483378559,620.0635376,0.0117465565,620.0635376,0.8161587715,620.0635376,1.652604938,
619.0316772,0.0003301974793,619.0316772,0.1436974555,619.0316772,0.01212560385,619.0316772,0.8548987508,619.0316772,1.65552175,
617.9995728,-0.001009517582,617.9995728,0.145459041,617.9995728,0.01150157303,617.9995728,0.8519496322,617.9995728,1.658180714,
616.9671631,0.001124569215,616.9671631,0.1410986483,616.9671631,0.01261196379,616.9671631,0.8507440686,616.9671631,1.655704021,
615.9344482,-0.0001513547613,615.9344482,0.1491305679,615.9344482,0.01229543891,615.9344482,0.859343946,615.9344482,1.663208008,
615.0490723,-0.0001900649513,615.0490723,0.1470991522,615.0490723,0.01240029186,615.0490723,0.8380681872,615.0490723,1.658117056,
614.0158081,-0.0001160054162,614.0158081,0.1470478028,614.0158081,0.01264383737,614.0158081,0.838529408,614.0158081,1.664158702,
612.9822998,0.001013634028,612.9822998,0.1437274069,612.9822998,0.01388048194,612.9822998,0.812771678,612.9822998,1.65493536,
611.9484863,0.0009449850768,611.9484863,0.1445881575,611.9484863,0.0138716884,611.9484863,0.7957798243,611.9484863,1.644759536,
611.0621338,0.0001571562607,611.0621338,0.1482219547,611.0621338,0.0135865612,611.0621338,0.8202415109,611.0621338,1.646532655,
610.027771,0.0001118158907,610.027771,0.144292742,610.027771,0.01326198597,610.027771,0.8320601583,610.027771,1.651446939,
608.993103,-0.0004078230995,608.993103,0.1478389651,608.993103,0.01364999823,608.993103,0.8507367373,608.993103,1.655286789,
