baseline,,bm3,,bm4,,bm5,,bm3_Prediluted,,bm3_Prediluted_10mMLauric_ul_05,,bm3_Prediluted_10mMLauric_ul_10,,bm3_Prediluted_10mMLauric_ul_20,,bm3_Prediluted_10mMLauric_ul_30,,bm3_Prediluted_10mMLauric_ul_30,,bm3_Prediluted_10mMLauric_ul_30,,bm3_Prediluted_10mMLauric_ul_70,,bm3_Prediluted_10mMLauric_ul_70,,bm3_Prediluted_10mMLauric_ul_120,,bm3_Prediluted_10mMLauric_ul_170,,bm3_Prediluted_10mMLauric_ul_220,,bm3_Prediluted_10mMLauric_ul_220,,bm3_Prediluted_10mMLauric_ul_220,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
763.942749,3.388605546E-5,763.942749,0.02196190506,763.942749,0.01420912985,763.942749,0.004788491875,763.942749,0.003559318371,763.942749,0.004579603206,763.942749,0.004974595271,763.942749,0.0198701527,763.942749,0.1095480248,763.942749,0.2624436319,763.942749,0.01582926698,763.942749,0.02304952592,763.942749,0.03535124287,763.942749,0.009368194267,763.942749,0.1587824374,763.942749,0.5234807134,763.942749,0.09153095633,763.942749,0.2533125281,
762.9575195,-0.0002313071745,762.9575195,0.02142177895,762.9575195,0.01384776924,762.9575195,0.004225457553,762.9575195,0.003130671335,762.9575195,0.004698230419,762.9575195,0.005155434832,762.9575195,0.01915863156,762.9575195,0.1101050079,762.9575195,0.2691242695,762.9575195,0.01575751044,762.9575195,0.02431472391,762.9575195,0.03286696598,762.9575195,0.008203900419,762.9575195,0.1569335163,762.9575195,0.5279553533,762.9575195,0.09012202919,762.9575195,0.2521244287,
761.9719238,0.0005534839001,761.9719238,0.02265507169,761.9719238,0.01425931044,761.9719238,0.004621121567,761.9719238,0.003698787652,761.9719238,0.004903170746,761.9719238,0.00522831548,761.9719238,0.02183212526,761.9719238,0.1051693708,761.9719238,0.254386425,761.9719238,0.01544702798,761.9719238,0.02492636256,761.9719238,0.03729306534,761.9719238,0.009890004061,761.9719238,0.1588524729,761.9719238,0.516528368,761.9719238,0.09180726856,761.9719238,0.2467473,
760.9859619,-0.0008594949613,760.9859619,0.02066256478,760.9859619,0.01265271194,760.9859619,0.003904666984,760.9859619,0.003712833626,760.9859619,0.003275741125,760.9859619,0.004489306826,760.9859619,0.01916231029,760.9859619,0.09981739521,760.9859619,0.2637201548,760.9859619,0.01545295585,760.9859619,0.02217491157,760.9859619,0.03244358301,760.9859619,0.008427973837,760.9859619,0.1553409547,760.9859619,0.519539535,760.9859619,0.09380687773,760.9859619,0.2418805212,
759.9996338,-8.251662803E-5,759.9996338,0.02028052509,759.9996338,0.01383371279,759.9996338,0.004648829345,759.9996338,0.004394636489,759.9996338,0.005887759384,759.9996338,0.005509369541,759.9996338,0.01923268288,759.9996338,0.1135709807,759.9996338,0.2609013021,759.9996338,0.01634296216,759.9996338,0.02644210309,759.9996338,0.03538836539,759.9996338,0.008804848418,759.9996338,0.155654937,759.9996338,0.5289360881,759.9996338,0.09561340511,759.9996338,0.2525581419,
759.0129395,-0.001161501976,759.0129395,0.01980669424,759.0129395,0.01216311194,759.0129395,0.003496737452,759.0129395,0.003180813044,759.0129395,0.003589620348,759.0129395,0.004296613857,759.0129395,0.01752799191,759.0129395,0.111442931,759.0129395,0.271432966,759.0129395,0.0146153653,759.0129395,0.02294490859,759.0129395,0.03486004099,759.0129395,0.007858227938,759.0129395,0.153749913,759.0129395,0.5464740992,759.0129395,0.090945445,759.0129395,0.2506175041,
758.0259399,-0.0005711864214,758.0259399,0.01894647628,758.0259399,0.01393746678,758.0259399,0.003561980557,758.0259399,0.004284666851,758.0259399,0.004267439246,758.0259399,0.005623085424,758.0259399,0.01896616071,758.0259399,0.1153778955,758.0259399,0.2700572014,758.0259399,0.01479555108,758.0259399,0.02266704477,758.0259399,0.03534596041,758.0259399,0.008137007244,758.0259399,0.1597006023,758.0259399,0.5045829415,758.0259399,0.08902017027,758.0259399,0.2592169344,
757.0385742,0.001407705829,757.0385742,0.02029118501,757.0385742,0.01453511044,757.0385742,0.005268690642,757.0385742,0.004987320863,757.0385742,0.005305558443,757.0385742,0.005459587555,757.0385742,0.01940391399,757.0385742,0.1125523597,757.0385742,0.2695408463,757.0385742,0.01567253657,757.0385742,0.02407425828,757.0385742,0.03681400791,757.0385742,0.009218060412,757.0385742,0.1607333273,757.0385742,0.5352323651,757.0385742,0.08809989691,757.0385742,0.2559976876,
756.0507813,8.227340004E-5,756.0507813,0.01972680166,756.0507813,0.01343848743,756.0507813,0.004631456453,756.0507813,0.004796762485,756.0507813,0.005134453066,756.0507813,0.005728541873,756.0507813,0.01832345501,756.0507813,0.09669530392,756.0507813,0.2737367153,756.0507813,0.01459327899,756.0507813,0.02348715253,756.0507813,0.03633390367,756.0507813,0.009620683268,756.0507813,0.1600213945,756.0507813,0.5407935977,756.0507813,0.08421958238,756.0507813,0.2581560016,
755.0626831,-0.001022946788,755.0626831,0.01851898991,755.0626831,0.01249853522,755.0626831,0.004413307644,755.0626831,0.00451491354,755.0626831,0.004282679874,755.0626831,0.005021755584,755.0626831,0.01759570092,755.0626831,0.1124586463,755.0626831,0.267380923,755.0626831,0.01413194556,755.0626831,0.02197903208,755.0626831,0.03505570441,755.0626831,0.00895343814,755.0626831,0.1533250809,755.0626831,0.5252830982,755.0626831,0.0832811892,755.0626831,0.244388774,
