baseline,,bm3WTHemeDomain_5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
378.9924927,0.0002035890793,378.9924927,0.1239775345,
377.9907227,0.0004069368006,377.9907227,0.1233570203,
376.9888,0.0003072197724,376.9888,0.1224701703,
375.9867249,-8.272367268E-005,375.9867249,0.1217242032,
374.9844666,0.000679364719,374.9844666,0.1213519871,
373.9821167,0.0001263160084,373.9821167,0.1217447892,
373.0181274,-0.0005796657642,373.0181274,0.1211501434,
372.0154419,-0.000130652712,372.0154419,0.1224937811,
371.0126038,9.840371058E-005,371.0126038,0.1236413717,
370.009613,-0.0002877048682,370.009613,0.124044694,
369.0065002,5.019579476E-005,369.0065002,0.1257096082,
368.0032043,-8.086023445E-005,368.0032043,0.1266561598,
366.9997864,0.0001349127269,366.9997864,0.1286595017,
365.9961853,0.0001373208797,365.9961853,0.1298128814,
364.9924622,-0.0001076205226,364.9924622,0.1303866208,
363.9885864,7.484278467E-005,363.9885864,0.132202059,
362.9845581,0.000318565988,362.9845581,0.1335114986,
362.0189819,0.0002272346901,362.0189819,0.1344290376,
361.014679,0.0007618447416,361.014679,0.1354538798,
360.0101929,0.0003614667221,360.0101929,0.1355942786,
359.0056152,-0.0002775641915,359.0056152,0.135914728,
358.000824,2.451470391E-005,358.000824,0.1357081532,
356.9959106,-6.491715612E-005,356.9959106,0.1356925517,
355.9909058,-0.0004198744718,355.9909058,0.1346716732,
354.9856873,0.000272250385,354.9856873,0.1346333325,
354.0190125,-0.0001888229745,354.0190125,0.1325713694,
353.0135803,3.411904618E-005,353.0135803,0.1314368993,
352.0079346,2.38157445E-005,352.0079346,0.1300802231,
351.0021667,-0.0002316693863,351.0021667,0.1282963902,
349.9962769,0.0003146284434,349.9962769,0.1259257346,
348.9902344,0.0003438499698,348.9902344,0.1240546107,
347.9840088,-0.0003638042836,347.9840088,0.1220044047,
347.0163879,0.0002323110239,347.0163879,0.1191274226,
346.0099182,-0.0002158353309,346.0099182,0.1168773994,
345.0033264,5.338014671E-005,345.0033264,0.1145392582,
343.996582,0.0004609370953,343.996582,0.1128766164,
342.9896851,0.0003011582012,342.9896851,0.1105955467,
341.9826355,9.389855404E-005,341.9826355,0.1078392416,
341.0142517,-0.000278495485,341.0142517,0.1050162464,
340.0069275,0.0003199648636,340.0069275,0.1024121195,
338.9994812,-0.000301880762,338.9994812,0.1004700959,
337.9919128,0.0001033749722,337.9919128,0.09832493961,
336.9841614,0.0002729497501,336.9841614,0.0956588015,
336.0151062,4.007332609E-005,336.0151062,0.09324222058,
335.0071106,0.0006626942777,335.0071106,0.09065447003,
333.9989929,0.0002720949706,333.9989929,0.0876088962,
332.9907227,-1.780918137E-005,332.9907227,0.08491571248,
331.9823608,0.0003950700921,331.9823608,0.08329025656,
331.0126038,9.017018601E-005,331.0126038,0.08022922277,
330.0039368,-0.0005988987978,330.0039368,0.07798597962,
328.9951477,0.000292817218,328.9951477,0.07629507035,
327.9862366,-0.0007043035002,327.9862366,0.0729662776,
327.0159912,4.77363501E-005,327.0159912,0.07139153033,
326.0068359,-0.0002609039366,326.0068359,0.06934361905,
324.997467,0.000481616531,324.997467,0.06789093465,
323.9880371,7.028609252E-005,323.9880371,0.0658044517,
323.0172729,0.0001409978722,323.0172729,0.06399650872,
322.0075684,-0.0001497503981,322.0075684,0.06251035631,
320.9977112,0.0003072715772,320.9977112,0.06095850095,
319.9877625,0.0004613517085,319.9877625,0.05931277573,
319.01651,0.0001109614313,319.01651,0.05841301382,
