baseline,,bm3wthemeDil2uM,,bm3wthemeDil5uM1,,bm3wthemeDil10uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
635.9901733,0.0001068704223,635.9901733,0.004998816177,635.9901733,0.008467486128,635.9901733,0.01501994394,
635.0064697,0.0004565836571,635.0064697,0.005217678845,635.0064697,0.008624014445,635.0064697,0.01570254005,
633.9859009,0.0003308192245,633.9859009,0.005635751411,633.9859009,0.00852397643,633.9859009,0.01448056288,
633.0015259,-0.0002872392361,633.0015259,0.005001775455,633.0015259,0.008726082742,633.0015259,0.01495981589,
632.0169678,-7.966970588E-005,632.0169678,0.004998266231,632.0169678,0.008872135542,632.0169678,0.01520544477,
630.9955444,-0.0005490048788,630.9955444,0.004296038765,630.9955444,0.007697812747,630.9955444,0.01511639636,
630.0103149,0.0002342535154,630.0103149,0.004794982728,630.0103149,0.007865872234,630.0103149,0.0146830501,
628.9883423,-0.0007098341011,628.9883423,0.004645532463,628.9883423,0.008445816115,628.9883423,0.01469507255,
628.0026245,0.000263029302,628.0026245,0.005259100813,628.0026245,0.008418789133,628.0026245,0.01481968258,
627.0165405,0.0004104865366,627.0165405,0.005156980362,627.0165405,0.008464029059,627.0165405,0.01509926934,
625.9936523,-0.0006041722372,625.9936523,0.00463663647,625.9936523,0.008422880433,625.9936523,0.01381511334,
625.0071411,-0.0006349325995,625.0071411,0.00511394348,625.0071411,0.008181425743,625.0071411,0.0143102454,
623.9837036,8.090118354E-005,623.9837036,0.004658981226,623.9837036,0.008500006981,623.9837036,0.01508155372,
622.996521,-0.0005304418155,622.996521,0.004066900816,622.996521,0.008733688854,622.996521,0.01501576323,
622.0091553,0.0008394125034,622.0091553,0.005534538068,622.0091553,0.009356687777,622.0091553,0.01580808498,
620.9848633,-0.0001935838955,620.9848633,0.005710443947,620.9848633,0.008183510043,620.9848633,0.01522627473,
619.9968262,0.0002480066032,619.9968262,0.004662094638,619.9968262,0.009115745313,619.9968262,0.01565216668,
619.008606,-8.251662803E-005,619.008606,0.004731072113,619.008606,0.008534404449,619.008606,0.01524560526,
617.9834595,-0.0006722040707,617.9834595,0.005226429086,617.9834595,0.008356823586,617.9834595,0.01474455837,
616.9946289,-0.0002398449142,616.9946289,0.004429285415,616.9946289,0.007848211564,616.9946289,0.01572653651,
616.0056152,5.47522759E-005,616.0056152,0.004925005138,616.0056152,0.008676273748,616.0056152,0.01549324673,
615.0161743,4.434492803E-005,615.0161743,0.005000256468,615.0161743,0.00937803369,615.0161743,0.01567803696,
613.9899902,-0.0004632669734,613.9899902,0.004900866654,613.9899902,0.009023100138,613.9899902,0.01597608998,
613,6.956116704E-005,613,0.005116929766,613,0.009671977721,613,0.01647267118,
612.0098877,-5.435713319E-005,612.0098877,0.004980120342,612.0098877,0.009373827837,612.0098877,0.01649724692,
610.9828491,0.0001671260834,610.9828491,0.005223390181,610.9828491,0.009648606181,610.9828491,0.01671458408,
609.9920654,0.0009741971735,609.9920654,0.00598774245,609.9920654,0.01029555686,609.9920654,0.01781917177,
609.0010376,0.00035112974,609.0010376,0.005183831323,609.0010376,0.009823035449,609.0010376,0.0174610205,
608.0098267,-0.0004240121925,608.0098267,0.004973443225,608.0098267,0.009935079142,608.0098267,0.01744385436,
607.0182495,0.0002607758506,607.0182495,0.00529224705,607.0182495,0.01014433429,607.0182495,0.01852198876,
605.9897461,3.489568553E-005,605.9897461,0.005860707257,605.9897461,0.01057078596,605.9897461,0.01821292564,
604.9977417,0.0003563370847,604.9977417,0.005412484519,604.9977417,0.01081115752,604.9977417,0.01935516484,
604.0053711,-0.0001176616715,604.0053711,0.005527721718,604.0053711,0.01011500228,604.0053711,0.01939024404,
603.0128174,0.000372581213,603.0128174,0.006103105843,603.0128174,0.01165084913,603.0128174,0.02055325545,
601.9832153,-1.874103691E-005,601.9832153,0.005793990102,601.9832153,0.01215738803,601.9832153,0.02089397609,
600.9900513,0.0005647069775,600.9900513,0.006203821395,600.9900513,0.01188884024,600.9900513,0.0216778107,
599.9966431,-0.0003410431091,599.9966431,0.006358196028,599.9966431,0.01209797431,599.9966431,0.02147897333,
599.0029907,7.549004658E-005,599.0029907,0.006304350216,599.0029907,0.01182486117,599.0029907,0.02184851095,
598.0090942,-0.0001033762528,598.0090942,0.006439186633,598.0090942,0.01214892324,598.0090942,0.02261798456,
597.0148926,-0.000236895532,597.0148926,0.006408080924,597.0148926,0.01250706054,597.0148926,0.02353849821,
595.9836426,-9.788970056E-005,595.9836426,0.007174760103,595.9836426,0.01346841827,595.9836426,0.0242086798,
594.9889526,6.088806549E-005,594.9889526,0.007410099264,594.9889526,0.01446648501,594.9889526,0.02568760887,
593.9939575,-0.000284290174,593.9939575,0.006757701747,593.9939575,0.0137947239,593.9939575,0.02648155577,
592.9987183,0.0002233756823,592.9987183,0.007205078378,592.9987183,0.01462660916,592.9987183,0.02727455832,
592.0031738,0.0003087481309,592.0031738,0.007281910628,592.0031738,0.01526960172,592.0031738,0.0288767051,
591.0074463,-0.0002743563673,591.0074463,0.007702345029,591.0074463,0.01637618616,591.0074463,0.03039241023,
590.0114136,0.0002414796618,590.0114136,0.008118544705,590.0114136,0.01720404066,590.0114136,0.03171855956,
589.0151978,-0.0004177021328,589.0151978,0.008372763172,589.0151978,0.01773176901,589.0151978,0.03317049146,
587.9817505,0.0009731334285,587.9817505,0.009421362542,587.9817505,0.01883378625,587.9817505,0.03616222367,
586.9849243,-0.0003100549802,586.9849243,0.008894434199,586.9849243,0.01902200468,586.9849243,0.03731881827,
585.987854,-0.0005546408356,585.987854,0.009630582295,585.987854,0.02143820375,585.987854,0.04011978954,
584.9906006,-1.346049521E-005,584.9906006,0.009722986259,584.9906006,0.02188640647,584.9906006,0.04334943369,
583.992981,-0.0004849357356,583.992981,0.01000582613,583.992981,0.02342089452,583.992981,0.04563815519,
582.9951782,0.0002382162347,582.9951782,0.01114022639,582.9951782,0.02547490224,582.9951782,0.0492827706,
581.9970093,-0.00039820245,581.9970093,0.01202744432,581.9970093,0.02677346207,581.9970093,0.05205477402,
580.9987793,5.369081555E-005,580.9987793,0.01241845731,580.9987793,0.0283119455,580.9987793,0.05573835969,
580.0001221,0.0005166805349,580.0001221,0.01346964668,580.0001221,0.03032153845,580.0001221,0.05927473679,
579.0013428,-0.0002594552061,579.0013428,0.01363092661,579.0013428,0.03195841983,579.0013428,0.06245353445,
578.0021973,-0.0001842689962,578.0021973,0.01435374841,578.0021973,0.03363122419,578.0021973,0.06509787589,
577.0028076,6.171653513E-005,577.0028076,0.01476137713,577.0028076,0.03529092669,577.0028076,0.06885861605,
576.0032349,2.987343396E-005,576.0032349,0.01586548425,576.0032349,0.03706121072,576.0032349,0.0722958371,
575.0033569,-0.0003989782999,575.0033569,0.01542618684,575.0033569,0.03752866015,575.0033569,0.07405710965,
574.0032959,-0.0001481460058,574.0032959,0.01660180092,574.0032959,0.03889524564,574.0032959,0.07671749592,
573.0028687,0.0005801813095,573.0028687,0.01702379435,573.0028687,0.0404449068,573.0028687,0.07899386436,
572.0022583,0.0002254476276,572.0022583,0.01702993363,572.0022583,0.04061660916,572.0022583,0.08012218773,
571.0014038,0.0001497502526,571.0014038,0.01735186763,571.0014038,0.04167856649,571.0014038,0.08156723529,
570.0003052,0.0002317412291,570.0003052,0.01765252836,570.0003052,0.04171894118,570.0003052,0.08244226873,
568.9989014,-5.10441314E-005,568.9989014,0.01789194345,568.9989014,0.04148641974,568.9989014,0.08244108409,
567.9972534,-0.0002572303347,567.9972534,0.01723143086,567.9972534,0.04162449017,567.9972534,0.08204078674,
566.9954224,3.313530397E-005,566.9954224,0.01738926396,566.9954224,0.04149205983,566.9954224,0.08182499558,
565.9932861,-0.0002544362796,565.9932861,0.01713281125,565.9932861,0.04099990055,565.9932861,0.08138161898,
564.9909668,-0.0002294961159,564.9909668,0.01682540588,564.9909668,0.04092520103,564.9909668,0.07990989834,
563.9883423,-0.0002469336905,563.9883423,0.01667436771,563.9883423,0.0399495326,563.9883423,0.0789392516,
562.9854736,9.555561701E-005,562.9854736,0.01661516726,562.9854736,0.03989044949,562.9854736,0.07772807032,
561.9823608,-1.998350854E-005,561.9823608,0.01629117131,561.9823608,0.0384430103,561.9823608,0.07690533251,
561.0161743,-0.0006195268361,561.0161743,0.01589056291,561.0161743,0.03795900941,561.0161743,0.07569240779,
560.0125122,0.0004553398176,560.0125122,0.01615697518,560.0125122,0.03784978017,560.0125122,0.0739672631,
559.008728,-0.000160825628,559.008728,0.01576196589,559.008728,0.03747659177,559.008728,0.07263293117,
558.0046387,-0.0002462610428,558.0046387,0.01547462959,558.0046387,0.03618143871,558.0046387,0.07169064134,
557.0003662,0.0005369220162,557.0003662,0.01549812872,557.0003662,0.03619072586,557.0003662,0.07125135511,
555.9957275,0.0003236174816,555.9957275,0.01524493471,555.9957275,0.0359774828,555.9957275,0.06993427128,
554.9909058,-0.0001696235122,554.9909058,0.01496983599,554.9909058,0.03550444916,554.9909058,0.06903170794,
553.9858398,0.0001678252738,553.9858398,0.01488774735,553.9858398,0.03546793386,553.9858398,0.06892354041,
553.0178223,-0.0005598114221,553.0178223,0.01474616583,553.0178223,0.034637779,553.0178223,0.06793070585,
552.0122681,-1.289102056E-005,552.0122681,0.01501731761,552.0122681,0.0348969847,552.0122681,0.0681976974,
551.0064087,-0.0002375681943,551.0064087,0.01480661239,551.0064087,0.0348986946,551.0064087,0.0684632808,
550.0004272,-0.0004329081858,550.0004272,0.01503813919,550.0004272,0.03494644165,550.0004272,0.06867110729,
