baseline,,samle,,sampledil2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
526.0581665,0.0001535050251,526.0581665,0.1548002064,526.0581665,0.07711099088,
523.9464111,-5.332476576E-6,523.9464111,0.1490718126,523.9464111,0.07444553077,
521.9846191,-0.0007232726202,521.9846191,0.1411255598,521.9846191,0.07002748549,
520.0219727,-0.000203157324,520.0219727,0.1354478747,520.0219727,0.06770381331,
518.0584717,-0.0004119609366,518.0584717,0.130083397,518.0584717,0.06515429914,
515.9429932,-0.0001459205669,515.9429932,0.1238828003,515.9429932,0.06259971857,
513.9777222,-0.0003229885187,513.9777222,0.1194724813,513.9777222,0.05969794095,
512.0116577,-0.001007244806,512.0116577,0.1143449619,512.0116577,0.05792322755,
510.0447693,-0.0009939183947,510.0447693,0.1109583825,510.0447693,0.05638979748,
507.9256287,0.0001276365801,507.9256287,0.1088763922,507.9256287,0.05561776832,
505.9570007,0.0001824049396,505.9570007,0.1067601442,505.9570007,0.05478317291,
503.9875488,1.172650173E-5,503.9875488,0.1046830788,503.9875488,0.05309306458,
502.0172729,0.0005051477347,502.0172729,0.1037708223,502.0172729,0.05262405425,
500.0462036,0.0004720281868,500.0462036,0.1033639833,500.0462036,0.0525540486,
498.0742798,-0.0004322358291,498.0742798,0.102480717,498.0742798,0.05159658939,
495.9497986,0.0004549511359,495.9497986,0.1024757326,495.9497986,0.05182855204,
493.9762268,5.550306378E-5,493.9762268,0.1024962813,493.9762268,0.05218132585,
492.0018311,-8.132609946E-5,492.0018311,0.102821514,492.0018311,0.05186136812,
490.0266418,1.454815811E-5,490.0266418,0.1016380265,490.0266418,0.05227860063,
488.0506592,-0.0001591695327,488.0506592,0.103525497,488.0506592,0.05236409977,
486.0738831,3.339302793E-6,486.0738831,0.1045028269,486.0738831,0.05298823491,
483.9441833,-5.223474363E-5,483.9441833,0.1059804186,483.9441833,0.05341928825,
481.9657593,-0.0002885326685,481.9657593,0.1073832288,481.9657593,0.05412525311,
479.9865417,0.0003435650142,479.9865417,0.1095282361,479.9865417,0.05532861128,
478.0065918,0.0007692352519,478.0065918,0.1119029894,478.0065918,0.05673278868,
476.0258179,-0.0001894957095,476.0258179,0.1147560179,476.0258179,0.05792139471,
474.044281,0.0001504235261,474.044281,0.1190677956,474.044281,0.0603694208,
472.0619812,0.0005957857356,472.0619812,0.1232402846,472.0619812,0.06264875829,
