,Vol/µl,Prot]/µM,No. Concs,Power,Substreate/nl
259,50.0,10.0,12.0,1.0,1592.5
260,50.0,10.0,12.0,1.0,1820.0
261,50.0,10.0,12.0,1.0,2047.5
262,50.0,10.0,12.0,1.0,2275.0
263,50.0,10.0,12.0,1.0,2500.0
264,50.0,10.0,6.0,4.0,0.0
265,50.0,10.0,6.0,4.0,5.0
266,50.0,10.0,6.0,4.0,65.0
267,50.0,10.0,6.0,4.0,325.0
268,50.0,10.0,6.0,4.0,1025.0
269,50.0,10.0,6.0,4.0,2500.0
270,50.0,10.0,6.0,1.0,0.0
271,50.0,10.0,6.0,1.0,500.0
272,50.0,10.0,6.0,1.0,1000.0
273,50.0,10.0,6.0,1.0,1502.5
274,50.0,10.0,6.0,1.0,2000.0
275,50.0,10.0,6.0,1.0,2500.0
276,50.0,10.0,12.0,4.0,0.0
277,50.0,10.0,12.0,4.0,2.5
278,50.0,10.0,12.0,4.0,5.0
279,50.0,10.0,12.0,4.0,15.0
280,50.0,10.0,12.0,4.0,45.0
281,50.0,10.0,12.0,4.0,107.5
282,50.0,10.0,12.0,4.0,222.5
283,50.0,10.0,12.0,4.0,410.0
284,50.0,10.0,12.0,4.0,700.0
285,50.0,10.0,12.0,4.0,1122.5
286,50.0,10.0,12.0,4.0,1710.0
287,50.0,10.0,12.0,4.0,2500.0
288,50.0,10.0,12.0,1.0,0.0
289,50.0,10.0,12.0,1.0,227.5
290,50.0,10.0,12.0,1.0,455.0
291,50.0,10.0,12.0,1.0,682.5
292,50.0,10.0,12.0,1.0,910.0
293,50.0,10.0,12.0,1.0,1137.5
294,50.0,10.0,12.0,1.0,1365.0
295,50.0,10.0,12.0,1.0,1592.5
296,50.0,10.0,12.0,1.0,1820.0
297,50.0,10.0,12.0,1.0,2047.5
298,50.0,10.0,12.0,1.0,2275.0
299,50.0,10.0,12.0,1.0,2500.0
300,50.0,10.0,6.0,4.0,0.0
301,50.0,10.0,6.0,4.0,5.0
302,50.0,10.0,6.0,4.0,65.0
303,50.0,10.0,6.0,4.0,325.0
304,50.0,10.0,6.0,4.0,1025.0
305,50.0,10.0,6.0,4.0,2500.0
306,50.0,10.0,6.0,1.0,0.0
307,50.0,10.0,6.0,1.0,500.0
308,50.0,10.0,6.0,1.0,1000.0
309,50.0,10.0,6.0,1.0,1502.5
310,50.0,10.0,6.0,1.0,2000.0
311,50.0,10.0,6.0,1.0,2500.0
312,50.0,10.0,12.0,4.0,0.0
313,50.0,10.0,12.0,4.0,2.5
314,50.0,10.0,12.0,4.0,5.0
315,50.0,10.0,12.0,4.0,15.0
316,50.0,10.0,12.0,4.0,45.0
317,50.0,10.0,12.0,4.0,107.5
318,50.0,10.0,12.0,4.0,222.5
319,50.0,10.0,12.0,4.0,410.0
320,50.0,10.0,12.0,4.0,700.0
321,50.0,10.0,12.0,4.0,1122.5
322,50.0,10.0,12.0,4.0,1710.0
323,50.0,10.0,12.0,4.0,2500.0
324,50.0,10.0,12.0,1.0,0.0
325,50.0,10.0,12.0,1.0,227.5
326,50.0,10.0,12.0,1.0,455.0
327,50.0,10.0,12.0,1.0,682.5
328,50.0,10.0,12.0,1.0,910.0
329,50.0,10.0,12.0,1.0,1137.5
330,50.0,10.0,12.0,1.0,1365.0
331,50.0,10.0,12.0,1.0,1592.5
332,50.0,10.0,12.0,1.0,1820.0
333,50.0,10.0,12.0,1.0,2047.5
334,50.0,10.0,12.0,1.0,2275.0
335,50.0,10.0,12.0,1.0,2500.0
336,50.0,10.0,6.0,4.0,0.0
337,50.0,10.0,6.0,4.0,5.0
338,50.0,10.0,6.0,4.0,65.0
339,50.0,10.0,6.0,4.0,325.0
340,50.0,10.0,6.0,4.0,1025.0
341,50.0,10.0,6.0,4.0,2500.0
342,50.0,10.0,6.0,1.0,0.0
343,50.0,10.0,6.0,1.0,500.0
344,50.0,10.0,6.0,1.0,1000.0
345,50.0,10.0,6.0,1.0,1502.5
346,50.0,10.0,6.0,1.0,2000.0
347,50.0,10.0,6.0,1.0,2500.0
348,50.0,10.0,12.0,4.0,0.0
349,50.0,10.0,12.0,4.0,2.5
350,50.0,10.0,12.0,4.0,5.0
351,50.0,10.0,12.0,4.0,15.0
352,50.0,10.0,12.0,4.0,45.0
353,50.0,10.0,12.0,4.0,107.5
354,50.0,10.0,12.0,4.0,222.5
355,50.0,10.0,12.0,4.0,410.0
356,50.0,10.0,12.0,4.0,700.0
357,50.0,10.0,12.0,4.0,1122.5
358,50.0,10.0,12.0,4.0,1710.0
359,50.0,10.0,12.0,4.0,2500.0
360,0.0,0.0,0.0,0.0,0.0
361,0.0,0.0,0.0,0.0,0.0
362,0.0,0.0,0.0,0.0,0.0
363,0.0,0.0,0.0,0.0,0.0
364,0.0,0.0,0.0,0.0,0.0
365,0.0,0.0,0.0,0.0,0.0
366,0.0,0.0,0.0,0.0,0.0
367,0.0,0.0,0.0,0.0,0.0
368,0.0,0.0,0.0,0.0,0.0
369,0.0,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0,0.0
371,0.0,0.0,0.0,0.0,0.0
372,0.0,0.0,0.0,0.0,0.0
373,0.0,0.0,0.0,0.0,0.0
374,0.0,0.0,0.0,0.0,0.0
375,0.0,0.0,0.0,0.0,0.0
376,0.0,0.0,0.0,0.0,0.0
377,0.0,0.0,0.0,0.0,0.0
378,0.0,0.0,0.0,0.0,0.0
379,0.0,0.0,0.0,0.0,0.0
380,0.0,0.0,0.0,0.0,0.0
381,0.0,0.0,0.0,0.0,0.0
382,0.0,0.0,0.0,0.0,0.0
383,0.0,0.0,0.0,0.0,0.0
